season_id,scryfallId,card_name,archetype,games_played,games_won,game_winrate
Season-4,0020c31b-002a-4121-bc61-2c2c16e9afc8,Ornery Tumblewagg,Aggro,8,5,0.625
Season-4,0020c31b-002a-4121-bc61-2c2c16e9afc8,Ornery Tumblewagg,Aggro-Combo,20,12,0.6
Season-4,0020c31b-002a-4121-bc61-2c2c16e9afc8,Ornery Tumblewagg,Control-Aggro (Midrange),9,2,0.2222222222222222
Season-4,0027e5ca-8046-40a0-bd73-79be55f28bff,Remand,Aggro-Combo,9,6,0.6666666666666666
Season-4,0027e5ca-8046-40a0-bd73-79be55f28bff,Remand,Aggro-Control (Tempo),20,12,0.6
Season-4,0027e5ca-8046-40a0-bd73-79be55f28bff,Remand,Combo,29,15,0.5172413793103449
Season-4,0027e5ca-8046-40a0-bd73-79be55f28bff,Remand,Combo-Control,9,6,0.6666666666666666
Season-4,0027e5ca-8046-40a0-bd73-79be55f28bff,Remand,Control,19,5,0.2631578947368421
Season-4,0055ea30-20fb-4324-a632-8fed87628f05,"Boseiju, Who Endures",Aggro,25,15,0.6
Season-4,0055ea30-20fb-4324-a632-8fed87628f05,"Boseiju, Who Endures",Aggro-Combo,19,11,0.5789473684210527
Season-4,0055ea30-20fb-4324-a632-8fed87628f05,"Boseiju, Who Endures",Combo-Control,9,3,0.3333333333333333
Season-4,0055ea30-20fb-4324-a632-8fed87628f05,"Boseiju, Who Endures",Control,11,6,0.5454545454545454
Season-4,0055ea30-20fb-4324-a632-8fed87628f05,"Boseiju, Who Endures",Control-Aggro (Midrange),27,10,0.3703703703703703
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Skullclamp,Aggro,18,12,0.6666666666666666
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Skullclamp,Aggro-Combo,9,6,0.6666666666666666
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Skullclamp,Aggro-Control (Tempo),9,5,0.5555555555555556
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Skullclamp,Combo-Control,20,14,0.7
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Skullclamp,Control,7,4,0.5714285714285714
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Skullclamp,Control-Aggro (Midrange),10,7,0.7
Season-4,006d2bf1-20f7-4b09-8d98-8233d91682bd,Flame Slash,Aggro,65,33,0.5076923076923077
Season-4,006d2bf1-20f7-4b09-8d98-8233d91682bd,Flame Slash,Control,20,16,0.8
Season-4,00cb17a0-5a13-4d02-b7fb-f99531bc8ca5,Dark Depths,Combo,41,20,0.4878048780487805
Season-4,00cb17a0-5a13-4d02-b7fb-f99531bc8ca5,Dark Depths,Combo-Control,29,14,0.4827586206896552
Season-4,00f9955f-a522-47bf-b064-92dd21a76b18,Solemn Simulacrum,Combo,10,6,0.6
Season-4,00f9955f-a522-47bf-b064-92dd21a76b18,Solemn Simulacrum,Control,21,8,0.3809523809523809
Season-4,00f9955f-a522-47bf-b064-92dd21a76b18,Solemn Simulacrum,Control-Aggro (Midrange),8,1,0.125
Season-4,01006833-6007-4c16-9ebb-20d31c60a57a,Taiga,Aggro,16,9,0.5625
Season-4,01006833-6007-4c16-9ebb-20d31c60a57a,Taiga,Combo,31,11,0.3548387096774194
Season-4,01006833-6007-4c16-9ebb-20d31c60a57a,Taiga,Combo-Control,9,6,0.6666666666666666
Season-4,01006833-6007-4c16-9ebb-20d31c60a57a,Taiga,Control,11,8,0.7272727272727273
Season-4,01006833-6007-4c16-9ebb-20d31c60a57a,Taiga,Control-Aggro (Midrange),10,6,0.6
